7fb1,7f5d,80ac
7fda,7c68,807d
80fa,7f10,7c5d
801c,8334,7659
7e1c,8627,771e
7d9b,8320,7d35
7ea9,805c,80dc
8027,7eab,85f5
7fed,7ad5,898f
7ec9,7af1,848e
7db4,7f1a,7eff
7cfc,7f60,7cde
7ad2,8080,7a7e
7dc9,8024,7a84
7e19,7d56,80e5
7e74,7ade,8414
8122,7a97,8134
804b,7cc9,7fb0
80cb,7f0d,7bb2
7eea,8340,7556
7cd5,879b,7708
7d52,84ce,7d16
7df7,805c,7fe5
7e31,7e76,861f
809c,7a2e,8991
800a,79a6,84d7
808e,7dd9,7f54
7f72,7f4a,7d15
7cb8,81cd,7a41
7db5,8231,7a5c
7ff0,7dea,8161
80ed,7a29,83f6
80fa,7aa7,80d3
7fa1,7c47,807e
7e88,7f09,7bf7
7ef0,840c,75cb
7e98,875a,7795
7e01,851e,7c65
7de4,80ac,7fdd
7f39,7d4c,85eb
815e,79b2,8a5c
808b,7942,84f5
7e92,7dcd,7e17
7d8a,8026,7de4
7bfb,8212,79fe
7dfa,8257,7a7c
7e2b,7e24,815d
8009,79a4,846f
8165,7978,80db
7f8f,7bbf,808b
7f3a,7e6b,7bd8
7efc,8342,75cb
7cc7,8819,7753
7d78,8553,7cba
7dcc,812f,8050
7ecb,7dfb,85ba
80e3,7968,8909
7dad,7963,84ec
7f1e,7ea9,7edb
7eb3,7fef,7dd2
7e8b,8263,7aca
7efb,8198,7ab8
7c65,7d44,80be
7ede,7a1f,83c8
811e,79ba,80df
7ff3,7b00,8097
7ff1,7e5b,7c7a
7ee2,834f,766e
7da3,87b2,7701
7eb9,84b6,7d1a
7f1c,80ea,8044
7de5,7de1,85a9
7f43,7a41,88ed
7deb,794e,8487
7fa7,7e87,7f51
7eec,8035,7d84
7c97,82a4,7b75
8047,82b1,7a7e
7ff3,7dc8,8146
801a,798d,8400
80a7,796f,80e1
800e,7b73,8058
7fd8,7eee,7b1d
7f4c,8309,74d7
7d7d,8766,772c
7cec,84c0,7e31
7c65,80cd,81a4
7eec,7d84,871f
7f3d,7942,881e
7d87,79e2,838f
7f85,7f33,7daa
7f24,808c,7e83
7be7,82da,7bf8
7e55,82d2,7b9b
7e7a,7e17,7fd2
8037,7a14,82a7
8150,7a1a,81d4
7ecc,7b16,80da
80d4,7ea5,7b5d
7fe9,83db,7498
7ca2,87a7,78bd
7d0c,849c,7e8e
7e8e,8120,8009
7e23,7eff,84dc
7f68,79e7,8b08
7e5a,7900,858d
7f12,7ce1,7cea
7e5a,7f63,7cb1
7d1f,823f,7cc8
7f40,8197,7a4d
7dce,7e90,805e
801e,79c9,8590
823d,799a,80cb
8003,7bf6,7e42
7fe8,7e54,7d1c
7ed6,82f6,75aa
7cb1,8748,75df
7d9b,852e,7dff
7d7e,8193,7fae
7e76,7f0c,8605
7ffc,7987,8a6d
7df6,795c,83af
802d,7d0b,7f79
7dc6,7f97,7c7f
7d04,8210,7942
7f4b,81bc,7b5b
7d85,7e25,802f
7ff5,7a0d,8607
8227,7a55,80ca
7ef8,7bac,8025
8006,7dc4,7db1
7f2d,825b,74b6
7cf2,87ae,77ee
7de2,8488,7c74
7fdb,8142,8184
805e,7dfd,850f
7ff6,7a26,89bc
7e05,7a10,83e3
7ffd,7d6f,7f27
7f8a,7e9e,7cb8
7dc0,820e,7b40
7cda,82bb,793f
7c87,7f9c,8247
7fd5,7b8b,83b0
80e1,7999,824e
8005,7b7e,7f81
80bf,7e5d,7cd4
7ec5,83fd,7531
7d39,880f,77da
7e0e,84fa,7d12
7f28,816b,8075
7f9c,7ecb,8686
8145,7aa9,89f0
7f3a,7975,8562
7fe6,7dad,7e44
7d52,7ed3,7c9c
7bd5,80d7,7aaf
7ef3,81d7,7952
7dbb,7e3c,80ac
7f40,79e4,83ff
817b,790e,811c
8084,7a9d,8120
7fbd,7df9,7c96
7e6c,82a6,75a5
7c47,876b,76fe
7ea0,84ec,7c44
8002,8110,7f68
7e52,7f9b,8663
7ee8,7a5c,89f7
7e82,794f,8460
8069,7db1,7f12
7eaa,7f21,7dc0
7cd8,81f1,7a52
7e25,827e,7a09
7de0,7fa9,8086
7f79,7bd5,83d3
8148,7a8f,8136
811f,7bbc,806a
7f04,7e62,7d4a
7f66,8294,75e1
7ce3,86de,76ab
7e3e,843a,7d22
7e5f,81a9,8124
7cc3,7f54,856b
7f45,79e4,891c
7ffc,790c,8612
7f95,7cb9,7f24
7f5b,7eb7,7d58
7cb6,811a,7b51
7e1a,8252,7a14
7cc6,7f28,8080
7ec5,7b3f,83dd
8168,79f8,81e1
7fe2,7b4a,803f
7fa6,7e3c,7d64
7f32,8223,75e8
7d4d,8768,76a4
7e48,84e0,7c66
7cf0,80cc,7f4b
7f60,7e79,8564
808c,79ea,89c7
7ed1,7922,8557
7f93,7e4c,7f8d
7d86,7fcb,7dd3
7cb6,82f7,7a92
7e70,828c,79f8
7c93,7f21,8048
7d1e,7b4e,83ea
81c3,7951,8104
807e,7b03,80d1
80d4,7e71,7d2f
7d7a,81eb,7672
7c79,87da,76f4
7dfd,84e3,7caa
7e52,8119,8044
7e3c,7eb7,8505
8082,7a7e,891a
8087,799c,84c7
812c,7e35,7ec5
7f16,7e5d,7ce9
7cbc,81ab,7a92
7e18,821f,7ab1
8047,7d6c,80a0
815e,796e,8413
82e6,7961,80aa
8027,7b3a,7f9b
7f81,7e5f,7bfa
7da6,827c,766b
7c32,87e8,77d6
7db6,8570,7ca1
7d7a,81ff,807e
7f86,7f86,85f9
800f,7aa3,8a19
7f74,7a0f,849f
7ec3,7e00,7ec8
7df9,7ed7,7d31
7f81,8137,7a3b
7f15,82a3,79f8
7cbb,7f11,808f
7e9f,7a14,84b2
8070,79d9,814d
804a,7b6c,80a5
7f03,7ea1,7c11
7f07,82e5,75d7
7caa,8717,76ac
7cb4,8446,7ce3
7d62,81bc,7ff8
7f0e,803d,859d
7fb3,7a12,8a06
7db4,793a,8503
7eb2,7d50,7f7c
7f2c,7e15,7dc0
7d8d,8064,7ad9
7e79,8198,7a54
7e28,7ef5,8060
7ea3,7b93,83a0
80ca,7adb,81a9
7efb,7c87,812f
8057,7eb0,7c16
80c5,8229,75af
7c5d,8714,76a0
7d85,8514,7cee
7dd2,81b7,80a2
7f2b,7f83,85bb
80c9,7a3a,89fd
7fb8,7979,850b
80c0,7d3b,7f32
7e2b,7df3,7d0d
7c68,806a,7aaf
7efe,820a,7a08
7dda,7fb2,810e
7f2e,7beb,8338
80be,79a1,80d5
7f1e,7b90,80ac
813a,7dbb,7c1d
805f,819a,7634
7dbf,8767,77bf
7ed4,8484,7d8c
7ef9,8125,7fb1
7fcc,7f68,85c8
7ff8,7b22,89c1
7dd7,7905,8662
7fe8,7cb7,7f5a
7ce1,7e58,7c91
7d2c,80b7,7a09
7e48,822c,79d5
7e2d,7f36,8017
7f73,7b68,84b0
80c4,7a14,8192
7f4c,7cb1,8038
8057,7f10,7caf
7e56,826f,76e0
7ce6,86c7,779c
7dcf,8447,7d2f
7e03,815c,7fb0
7e59,7e9c,851a
8053,7a53,89bc
7fdf,7904,8585
7eab,7d6f,7fab
7eff,7f88,7cf4
7c5a,81a9,7a31
7f4f,8222,79e8
7fad,7fea,8096
7ec7,7b83,82b3
804c,7a92,810c
7e88,7cd0,8050
7fb4,7e2e,7d69
7e78,80dc,75e4
7c29,8774,7733
7de0,84dd,7d79
7c9a,8159,7f9d
7f5e,7f70,8474
80ef,79dc,89e2
7f8f,78bf,85c5
7f98,7cf2,7f93
7f2a,7eb5,7dac
7d3b,814c,7a63
7f1c,81b5,799d
7e20,7e1f,8081
7fb6,7a92,8364
81e1,7a2b,811d
7f9b,7c62,80c1
8083,7f45,7cb5
7fd8,822b,763c
7ce9,87f4,76a7
7dba,8492,7cfe
7dce,81db,8046
7ed5,7f1c,85d3
7fa5,791d,8a8c
7e8e,7990,852a
7ffe,7eee,7f1e
7e91,7e32,7cf4
7d41,80d4,7af7
7f0d,80e8,7a97
7dd8,7e80,7f6f
803f,7ab5,83e6
8197,79c7,8148
8104,7c1e,7fea
8052,7f57,7ca9
7e4e,835d,75c6
7c47,87b8,76ec
7d80,849d,7d63
7cbc,80f0,8058
7ed9,7e7a,85c8
7e93,7a37,8a5b
7d6c,7a4b,85b1
7f8c,7e13,7fac
7f2d,7f89,7d25
7e13,8237,7a23
7f2b,8245,79e8
7dab,7f08,8039
7ec9,7ac1,83eb
81cd,794e,8133
7f49,7b87,806e
806e,7df9,7c9d
7f85,8291,7641
7b46,876b,767f
7e1e,84a4,7c8b
7df7,817c,80a5
7f81,7eab,8594
814a,79ad,89cd
8013,7a0e,8648
80e3,7e7c,7f01
7e1c,7f59,7cb2
7c6a,81a5,79d1
7dab,81a6,79fb
7cc2,7de0,811b
7ecd,7a50,83fa
827a,7964,8172
80a1,7c5f,7fec
80b8,7fc2,7c6f
7eb8,82fa,761b
7bad,8825,775a
7d50,847d,7c39
7e3e,80e7,7ffe
7f3e,7ebf,854b
7f95,79e1,8a1c
7eaa,79bc,8675
80ce,7e74,7f60
7f20,7f2f,7dec
7bdf,811e,79fd
7d00,80b8,799d
7f0f,7d8e,8066
80b1,7a43,83aa
818b,7981,81b4
7e2b,7bbc,801e
7f28,7e7b,7cd9
7e5d,8287,762a
7d11,8826,768f
7d8f,84d9,7c9f
7e4f,80c6,7f9d
7f95,7ee6,854e
805f,7a87,8a7b
8007,79e9,8611
7ffd,7d7f,7ed2
7d7d,7f3e,7d4f
7d65,81d4,7a2e
7e34,814f,7a47
7e83,7f60,800b
7f97,7b02,8375
81c0,7929,819c
7fe0,7bf5,8082
7efb,7e61,7d02
7fe6,822d,762d
7c95,87f8,7748
7e37,84e3,7cb8
7dc1,817d,8019
7f54,7e51,8524
7ffa,7987,89b4
7f15,77f4,85da
7e94,7d4b,7f3b
7c67,7f2d,7dc4
7b6a,8210,7a91
7ee5,8331,7ad0
7f3c,7f8e,7fde
8104,7a45,8388
8258,78f1,811c
7ead,7c0f,80ab
7f27,7da2,7d53
7fdb,8228,762d
7cbc,8838,76fb
7e0d,84b3,7ca7
7e1c,812c,7f9b
7e85,7f2d,85b7
7fac,7aac,8a31
7e67,790f,8590
8032,7d6d,8004
7f27,7e71,7c8d
7c84,8151,7a53
7e6c,8327,78f6
7e3e,7f71,7fb9
8091,7a50,8344
7fc2,792e,812e
7f31,7b41,8147
80f7,7cfb,7cfd
7fa4,8203,7662
7c63,87dd,7727
7d36,863d,7c52
7e12,82f7,803d
7f98,7f00,8559
806e,79c1,89b6
7d39,78b3,8654
7e47,7ce9,7fc4
8083,7f95,7d3a
7dde,827f,7993
7f68,8326,79d0
7e1b,809b,7f56
7f3e,7b31,83de
8109,78ef,81bb
7f30,7aef,8028
7f7e,7d08,7ce7
7d76,81ab,762a
7b8c,8844,777b
7c9c,8529,7cd2
7d43,8171,80da
8001,7ee4,85ca
8160,7901,89ea
8114,77ed,85e5
80b7,7d77,7ef4
7f80,7f2a,7cb1
7d89,824a,79b1
7e5c,82e6,7969
7d1c,7fd3,8040
7e98,7b1c,83d2
801d,794d,81be
7fed,7b80,8023
819d,7e52,7d14
7fb1,8284,7629
7ccb,875b,7778
7d2c,8468,7da1
7de1,81f7,8086
7f11,7fb8,860c
7fc7,79d1,8a8a
7e6d,781e,85cf
8109,7ca6,7f1a
7e9e,7e20,7d61
7cba,81e8,79dd
7fdb,8339,798b
7e9d,7fa2,7fc1
7dd6,7b4d,844e
7f81,78c3,8233
8039,7b34,8094
80a9,7d87,7d51
7f67,82c3,7552
7c36,88c4,7611
7e42,85d1,7cb3
7d97,82ba,8088
7ed4,7ff0,8597
7eb2,7ade,8a34
7e17,7845,85b4
7f7e,7c82,7f4f
7f1e,7ed8,7cda
7bf3,8194,79fa
7dcb,82ea,79d9
7d75,7fad,7f9c
7f46,7a68,8427
80f6,78d5,81af
8157,7b1b,80bb
80ca,7d80,7d4a
7d9d,8264,76a0
7d0f,8894,7708
7e91,861e,7b60
7e75,8199,7f94
7f93,7e67,8581
805b,77c8,8a87
8057,77f6,86ca
8017,7caa,7f2d
7e25,7fa3,7c4b
7d31,81fc,7a65
7cb1,82ce,79bf
7c5f,7fb0,7f80
80b7,7bed,83ff
8230,7a54,8184
7fbd,7af3,80c0
8078,7dd5,7d6e
7e8b,8195,7633
7b9e,8854,7679
7de1,86a0,7c1c
7d74,81f5,7f84
7dc2,7f52,8628
7f16,7a50,89bd
7ee3,7846,8640
8059,7c34,7f3c
80b9,7daf,7d8c
7e10,81f7,7a4c
7e7e,8354,792c
7e4a,7fc2,7ff9
80fa,7ae2,83f4
81ac,7904,81db
7fcc,7af6,8070
80e4,7d1e,7cd7
7f2b,826b,764b
7c18,873f,76e9
7c03,8631,7c25
7ba7,82fd,7fcb
7e7f,7fb9,8585
801d,7999,8a4c
7e12,7845,8643
8031,7c7b,7f66
7e43,7ee5,7d67
7bcc,8120,7a69
7e16,813d,789c
7ed4,7ff1,7f46
80fc,7be2,8439
80e8,794a,8132
8136,7b16,80ee
8174,7dce,7d00
7e40,81df,75ea
7b74,873f,76e7
7f62,861d,7d40
7e1f,830e,8025
7e5e,7fc8,8620
8174,79bc,8a71
7fa7,77d3,8607
7e39,7bed,7f63
7e9e,7ea1,7cdf
7d3b,82c8,7a11
7e71,8361,794f
7e3f,801a,7fed
7faf,7c40,83ce
81dc,7a20,81ee
7edf,7b46,806c
807b,7d85,7db0
7ed9,8165,75c1
7cbe,8850,767a
7cc8,85e8,7c7b
7d7c,8210,7fe7
7db4,7e97,85ff
8096,78b2,89e1
806e,76f7,8692
80d9,7beb,7fa6
7ed0,7dd4,7d8c
7c32,8185,7acf
7d5b,8301,799a
7c94,8130,7ef0
7e89,7c6a,82e4
8171,7ad2,80db
80b7,7b65,80b5
81da,7d94,7d3d
7e7f,812f,763a
7b92,86de,76bf
7e28,8555,7cde
7e30,813d,8035
7f09,7fdc,8609
8142,7924,8a96
7fc0,792b,8703
7f86,7c54,7ef5
7e25,7f40,7d23
7db7,8225,7a43
7e99,824c,790c
7e31,7efa,7ec9
7faa,7b6d,839a
812b,7929,8159
8052,7b7d,8091
7fcd,7e03,7c89
7d24,821b,76ae
7bc2,881f,76de
7eb2,8641,7cec
7db2,82da,8091
7e78,7fdc,8640
7f44,7991,8a90
7fbd,77b1,8643
80fe,7c5b,7f24
8117,7ea3,7d66
7ded,80c4,79b9
7e54,81f9,78da
7dbe,8013,7f37
7f39,7b03,8457
8112,7a38,81ec
7f15,7c18,80a8
7fda,7d3e,7d09
7f0f,81c8,7657
7c57,87f1,76d4
7d2c,8586,7c7d
7cfa,833a,7fcb
7d5f,8122,853b
7fa4,7975,8a64
8056,7886,86a3
802e,7c05,7fb1
7e37,7e35,7d05
7af8,8197,79f6
7f61,82c5,78fb
7e3f,8024,7f07
7f7e,7b26,83ed
8178,79cc,8220
80e0,7b39,806b
8247,7cf7,7d10
80fe,811d,7631
7c98,8723,76b1
7ccc,8586,7d0d
7c6e,8201,8039
7d1f,801b,859b
7f90,7aeb,8b04
7f99,787d,8726
8070,7c2f,7f15
7f59,7e1e,7d02
7c90,8216,7a4b
7f1f,81ec,7862
7e39,7fe4,7f0b
80f0,7b51,82ee
7fbd,799e,811d
7e50,7b11,813c
807a,7d26,7d97
7e96,8182,75da
7d2e,8759,7688
7d98,85c4,7c36
7d77,81f7,8068
7ea7,7fcc,8593
7f5e,7aa4,8ad5
8016,793e,8693
807f,7d58,7f70
7f06,7eb9,7d54
7e05,8196,7aaf
7e20,82ef,7847
7e2b,8071,7e9f
8047,7bb5,837b
80a7,79ea,81f0
7de3,7c50,8082
7ebb,7e22,7d5d
7e4c,8157,775c
7b50,86ff,76ca
7e10,8440,7c87
7d88,8202,8028
7fa4,8053,8534
814c,79e0,8a3b
8077,78b5,870c
8058,7c59,7fd6
7e95,7ebc,7e31
7c1f,8111,798e
7d42,80fb,791e
7da7,7fb3,7f23
7e8b,7b48,8364
80a5,79f9,813a
80fa,7b5c,8040
80ab,7d1d,7ce0
7e8f,8190,76e9
7cb7,8707,773c
7d06,85a7,7cdc
7cf0,830c,808c
7ecb,7ffb,8510
801d,7ac7,89f5
7e8c,7905,86f1
801d,7cdb,7fb4
7e51,7e5e,7d76
7d8d,8110,7b1f
7e82,824d,7954
7c47,80f9,7ed7
7f33,7c2b,8432
8176,79e8,81ae
8126,7ba5,800f
7ff8,7d0e,7cab
7e0a,8098,7639
7dae,8656,7637
7eed,853d,7c8f
7e41,8228,808a
7e91,7eee,85fc
8066,79cf,8a32
7f0d,7935,877c
802e,7cf0,7fed
7f16,7f17,7c56
7ce9,8247,79da
7e90,82af,786f
7d97,80ff,7f4d
804f,7b0d,8360
8083,78a2,8143
7f91,7ad8,8028
80df,7dea,7d17
7ef8,81a0,7675
7caf,8731,76eb
7e86,851d,7c34
7ded,81ab,8019
7ef8,7f12,8607
7f02,79fb,8a87
7ee3,78a3,8623
7f9e,7e06,7f01
7ec4,8004,7d28
7c93,818d,7955
7e2c,82e7,78b2
7c64,801a,7eac
8051,7ab8,8405
8148,7906,8224
7f12,7beb,813a
804a,7ed4,7d87
7ef0,832a,7695
7d81,885e,76a2
7f25,8576,7cea
8008,825b,7ff1
7f30,7e63,8504
8055,7959,8a96
7eb6,7814,86dd
7f6d,7c3c,7fb4
7e2a,7e8e,7da2
7d48,8135,7990
7f24,8198,788f
7e64,7f45,7f87
7f0d,7acb,82dc
80ec,7980,8169
8020,7b81,8159
809e,7e55,7d50
7f69,8284,773b
7bd5,87d8,7697
7c43,856e,7caa
7df2,8252,8023
7e29,7ee3,8535
7f05,7923,8ac6
7f06,77f6,8752
8011,7cf9,8004
7ddf,7f31,7ccc
7d64,8238,7920
7fdf,8203,78d8
7fd1,7f87,7e80
800d,7a8a,82f5
80e9,78b8,8161
7fe1,7b9a,80a3
8240,7df5,7e4c
7f0c,8266,773b
7b67,8919,76c1
7e39,85c4,7c0f
7de5,81fe,7f43
7eb6,7f11,8561
80dd,7988,8a74
7fa7,775a,8763
7ff7,7cd9,7fee
7e7d,7fa8,7d6b
7b21,827f,7a50
7d6e,8281,7846
7d84,7fb1,7e8e
7f66,7ac3,834e
8061,78bb,817b
7fa0,7af7,80e5
816b,7d9c,7e50
7f94,8258,76fb
7b3f,87d1,76c4
7ce4,8606,7c1e
7dc3,8244,8041
7df2,8068,858e
7fac,7a31,8a6f
8029,77cb,86fb
7f4e,7c63,7fe2
7e2a,7f19,7d3f
7d94,81c5,79ef
7fd8,8290,7819
7e60,8025,7e1f
8146,7b4b,830e
82c9,798b,8191
7fe6,7b26,80f5
8178,7d2d,7e35
806c,81f0,76fb
7c7e,8901,772b
7c53,8677,7d22
7c7f,8233,7f86
7d01,7f74,8538
7e45,79b9,8a73
7eef,77eb,86c3
7f23,7b6d,7f3d
7def,7f09,7d6c
7e4b,81aa,79cf
7f50,8384,78e6
7de2,81df,7f25
7ec4,7c83,8364
827c,78d5,81c5
7fd6,7ae0,8103
7fbe,7cad,7d8a
7f8d,803a,7644
7c37,8804,76f1
7c9a,86b0,7cb5
7c85,82fa,7fe8
7dc1,8032,850a
7f9d,7a11,8a2f
7f7d,77ba,8707
8215,7ae6,7fe5
7f64,7ce9,7d06
7dd7,8171,7a1f
7fa6,81fa,78a8
7db5,8155,7ec1
7f5f,7c00,83ae
80cf,7924,8160
8025,7a2a,810b
8048,7ceb,7d9d
7ecf,8291,76d2
7c10,88a2,76cc
7cc6,8606,7ca9
7c6d,8367,8041
7fe4,7f58,8570
80c4,7963,8b13
7fee,7787,86ee
7fb7,7b49,8085
7e4e,7ef7,7ce2
7dcc,81f5,79d5
7f0f,82cf,7883
7d00,8054,7eb0
7e37,7bdb,82e4
7f96,7aae,813d
7f86,7ae7,8102
80af,7c01,7d56
7f30,809d,7701
7d13,87f5,7614
7d82,868a,7b88
7d41,825f,8002
7f2a,7f50,855f
8197,79e0,8aa4
7eab,76f8,8739
8175,7b08,7fb7
7fa0,7e9b,7d8a
7cf4,827e,7a74
7d74,82e8,783d
7cdb,8263,7dff
7deb,7cec,84a9
80e8,7997,822f
809b,7b83,8070
80b2,7d63,7e0f
7fa6,812b,76f6
7d5d,87f3,7647
7f08,8549,7c6f
7ef5,8289,8042
7e35,7fb4,8508
7ee8,78e5,8a94
7e69,77aa,8738
7e13,7b96,7fa4
7bc3,7e45,7c7f
7b7c,814c,792d
7ddb,8262,7827
7d10,80b7,7f19
7f54,7bee,82ff
8051,79de,829f
7ee8,7b46,80bc
8197,7d72,7de7
80c0,81fd,77b8
7bf5,885f,76d8
7f4f,85b0,7bda
7ed1,8210,8038
7f1c,7fad,8582
7ffa,7975,8ab8
7f08,781a,873c
80ac,7b3a,7fdc
7fee,7e7a,7d14
7d58,8143,7a0f
7ed9,831e,786f
7c6c,8141,7d42
7f13,7b82,82e6
80ea,79ea,813e
8127,7bec,8122
81fb,7daa,7de4
7fe0,81ea,778e
7d75,8749,7733
7e6b,85f1,7c5f
7caf,835a,7f5e
7ec9,7f09,857e
7f08,7926,8a47
7ee0,770a,867b
80fc,7b87,8044
807c,7ef9,7ddb
7d31,82db,7a21
7d24,8361,782e
7e30,80e6,7e3e
7f5f,7ac6,832f
7fd4,7898,810f
80be,7b1f,80da
80a8,7cfe,7db0
7f51,8189,7786
7ca9,88cd,7742
7dd3,86a7,7be1
7d9e,8355,80db
7df7,7fd0,8573
7f01,7a28,8a28
7dfc,7765,8742
7e6d,7bcf,7fc9
7e92,7e97,7d7b
7cdd,81aa,7955
7f59,82f7,7880
804d,8131,7e61
823f,7b5b,8314
80bd,79c2,818f
7fe1,7af6,805b
7ed1,7d07,7e03
7e81,8192,7719
7c29,88b2,77c9
7d3d,85f3,7cf0
7c38,828b,8037
7d0b,7f1c,851e
80ab,7977,8a9c
8017,7772,870f
8012,7bbe,7fe0
7e00,7e2e,7d07
7c94,8076,7a89
7fdb,82b6,7868
7da3,81e1,7e5e
7f8c,7c92,833e
81a1,78df,81bc
8178,79ae,8000
8182,7ccf,7dff
7f94,822d,7753
7c55,8885,764f
7ddd,8609,7c8e
7c32,827e,8062
7d90,8005,8530
7f87,7a4f,8add
7f9f,775a,8709
809b,7b1e,7fac
7e12,7e4c,7cae
7d2e,8139,7a97
7e61,824e,77e6
7ec2,8113,7eb5
7f97,7bcc,8332
814d,7946,8174
7ebf,7bc3,8102
8026,7cd2,7de0
7f07,8158,7767
7ce0,88bd,76a2
7d95,85fa,7c7a
7c0f,8313,8028
7e7f,7fb0,84bb
8065,7991,8a57
7fef,77e3,8733
8027,7b1f,7ff6
7e8b,7ec9,7ca9
7cd2,80a0,79fc
7ea3,8247,78d7
7cc3,81ec,7e07
7fa2,7c62,8308
811e,7a23,8217
807e,7bf1,814a
8144,7ce8,7dc0
7e23,8120,7722
7c63,8794,7663
7dd0,85a9,7bce
7d89,837f,7fdf
7f89,8014,85f4
804a,7a5a,8b2e
7f59,778c,87a4
8035,7ae9,7fd0
7ff9,7d52,7cd1
7d8f,815e,79b7
7de6,828a,7803
7d4b,8266,7e30
7e34,7d0d,82ae
8161,7ab8,81ef
806e,7b14,8138
7fe1,7c73,7ed3
7fce,8075,7730
7e18,8699,7639
7e04,855a,7c77
7b88,8342,8046
7d3f,812a,8588
7f46,7a3e,8ac2
7f61,772a,86af
811b,7a74,7fc8
7fe1,7de8,7d34
7e41,80e4,7926
7e2f,827d,77a8
7d95,81e2,7d78
806d,7d42,82a2
8218,7ab6,8242
804d,7b82,80e6
80c2,7c8d,7ec0
7f54,810c,7786
7dd2,8791,76d4
7ec0,8617,7bc0
7c89,831c,8099
7d2d,8008,8509
7f06,79e5,8a35
7f7a,76ab,87be
806a,79d7,80bd
7e8b,7e2d,7cdc
7b27,8117,79d1
7dad,8265,77a9
7c68,8198,7cc0
7dea,7be6,82ae
80d6,7a74,8265
80ec,7ba2,8113
8202,7df5,7ec9
806b,81fc,77e5
7e49,8867,76b8
7ea1,8647,7cbf
7d03,82f9,8045
7d91,7fe5,84c9
8011,797f,8a28
7dc0,784c,86e6
7e64,7c01,8062
7e3e,7e19,7dba
7d2a,81af,7a1c
7d50,82b0,782e
7cb0,80f7,7e26
7ed9,7c30,836d
8114,79e1,8200
7f0e,7a2f,8133
7fe4,7c99,7e88
8088,81b4,7789
7d5c,87ac,7714
7d6b,84eb,7c23
7c05,8251,7f52
7ddd,7f2f,84d2
80bc,7a1e,8a2e
7f69,77a5,86d1
8065,7bb8,8021
7f2d,7e6f,7d90
7d99,81e3,7a52
7f71,8274,780a
7dde,804a,7de9
7ed1,7b49,82f6
810c,790d,819f
81cd,7c97,809e
814c,7d94,7d79
8023,81a2,7751
7c75,886e,76ab
7c54,8517,7ca9
7c23,8265,807f
7f02,7ef7,84f2
80f1,79b3,8a60
7f78,7756,86ad
7ff5,7b5f,800a
7e17,7f5f,7d1f
7e06,8182,7981
7f60,82b0,787b
7dcd,8053,7e69
7f8f,7ab6,82f7
811d,78e5,8194
8015,7ac0,819c
81f2,7cb1,7f02
8075,82aa,7752
7c26,88c2,765f
7cc6,867d,7c45
7c98,833c,80a6
7e70,807e,85ff
7fe3,7ac4,8a14
7f90,7768,86a0
8095,7b3d,7f40
800d,7f50,7d28
7e17,8224,7a40
7e7b,8332,7867
7cc2,818f,7df3
7f3b,7b5d,8314
7f76,7975,81f7
8004,7c2d,8197
811a,7d47,7dbf
7f82,8129,7768
7c9e,8794,757c
7d06,8645,7c5d
7bd7,82c0,80af
7ea0,7fad,856d
7f4a,796e,8a93
7f74,775c,876b
819a,7ba1,8089
7f40,7ec5,7d70
7d2b,80f3,79e4
7df4,8290,776b
7ea3,8160,7d49
80c0,7bbd,8320
81c7,791c,81d3
7e89,7aa3,8152
7ffe,7c38,7e66
7f35,8173,771f
7c13,8794,761b
7d79,8632,7bbe
7bef,8340,7fbc
7eba,7f6a,84f0
8098,79c6,8ae5
7eb8,7729,8878
8004,7a5a,8004
7f18,7e06,7d46
7d39,821c,797e
7f04,838f,773c
7e2b,8295,7db1
7eb6,7c89,8276
814b,7a3d,81ac
7f37,7b6c,80dd
7eca,7d1e,7fb5
7db9,8156,77d2
7bee,8812,7719
7e3c,85c3,7c08
7c97,834d,7fb2
7de4,7fb2,859d
7e61,7a0b,8ad8
7f80,7738,8752
81e8,7a9d,80a9
7f63,7d6f,7df9
7eca,8075,79af
806a,8251,7758
7dc5,81f0,7d33
7f9f,7c61,8273
8112,7af3,81d8
813d,7bed,815c
8137,7c53,7e65
8002,808c,77b8
7bcd,888d,76b3
7d40,86d3,7c21
7cb5,8420,802a
7cfc,8022,84ed
7fc4,797f,8a4a
7f31,75fb,8750
8174,79b2,80fa
7f3d,7dc1,7d60
7d48,80fe,7a06
7dcd,82fa,779f
7cdd,8297,7d85
7fe5,7cb3,82a5
816f,79f4,820a
804b,7add,8136
81b7,7c38,7e5e
7fa6,8154,776b
7dcc,885f,76f3
7cb7,865d,7cf4
7ce6,832a,801d
7ea4,7f8d,8543
8001,798d,8a93
7efe,76d0,871d
7fd9,7a9f,801c
7ff4,7e67,7cf9
7e1d,8116,7971
7e0d,82ee,77a2
7eff,828d,7cde
8012,7ca3,82f4
8041,79e4,819e
7f59,7ab7,80c9
7f52,7cea,7ed2
7ceb,817b,77ff
7b2e,8751,7724
7cbc,8658,7c7e
7dc7,82d7,7f92
7eb3,7f4e,8597
7f2f,79b6,8a69
8050,76f1,86f1
8086,7a1b,803c
7ffe,7de1,7c9c
7dc8,8287,79cd
7eeb,83b7,7808
7dcc,82ca,7dab
7e85,7cf7,834e
805f,79a9,81e3
7f4a,7ad2,8141
818c,7be4,7f48
7ffd,80db,77fc
7d18,878c,7665
7d28,8632,7c5c
7e17,8408,7f72
7e33,8004,8472
7f1d,79c9,8aa7
7f11,7733,8756
8151,7ad2,80b7
